|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~備考|h
|ノーマッド|土|シューター|90|20|9|20|7|人男獣騎|飛獣|射撃&br;装飾|S|2|遠隔攻撃&br;奇襲戦法[10]&br;奇襲警戒[7]&br;速度布陣[10]&br;|夜戦適応&br;人間活性[6]&br;カブト割[15]&br;グルメ魂[3]&br;|速度弱体[15]&br;多段攻撃[1]|側面攻撃[5]|商業[12]|計略|R2-陸&br;v1.04|
|忍者|闇|シューター|85|15|10|21|7|人女樹毒夜|騎男|射撃&br;法衣|S|2|遠隔攻撃&br;挑発行為&br;イベイド[40]&br;必殺増加[25]&br;|奇襲戦法[12]&br;自決自爆[40]&br;撃破金運[4]&br;麻痺攻撃[2]&br;|撃破金運[5]&br;致命必殺[50]|致命必殺[15]|商業[16]|計略|R2-苦&br;v1.04|
|銃士|火|シューター|85|25|4|14|5|人男器|海氷飛|射撃&br;装飾|S|2|カブト割[20]&br;遠隔攻撃&br;攻撃布陣[6]&br;火炎放射[5]&br;|防御弱体[4]&br;人間活性[6]&br;武具研磨[15]&br;夜戦適応&br;|貫通攻撃&br;火炎砲弾[3]|術撃放射[12]|工業[12]|計略|R2-闘&br;v1.04|
|ローグ|土|シューター|90|22|13|27|8|人男夜|飛器|射撃&br;道具|S|3|多段攻撃[1]&br;遠隔攻撃&br;奇襲戦法[11]&br;トレハン[8]&br;|撃破金運[4]&br;撃破金運[4]&br;パリング[40]&br;挑発行為&br;|撃破金運[5]&br;戦術妨害[35]|致命必殺[15]|商業[12]|計略|R2-苦&br;v1.04|
|レディローグ|土|シューター|90|20|10|30|9|人女夜|飛器|射撃&br;道具|S|3|多段攻撃[1]&br;遠隔攻撃&br;奇襲戦法[13]&br;トレハン[12]&br;|撃破金運[3]&br;撃破金運[3]&br;イベイド[40]&br;挑発行為&br;|トレハン[6]&br;戦術妨害[35]|致命必殺[15]|商業[12]|計略|R2-苦&br;v1.04|
|騎兵銃士|火|シューター|90|34|10|18|6|人女獣騎|飛獣|射撃&br;装飾|S|4|遠隔攻撃&br;奇襲戦法[11]&br;飛行弱体[8]&br;人間活性[8]&br;|速度布陣[10]&br;必殺増加[15]&br;致命必殺[30]&br;夜戦適応&br;|側面攻撃[6]&br;火炎砲弾[4]|遠隔攻撃|工業[12]|計略|R2-闘&br;v1.04|
|バッカニア|水|シューター|95|34|16|30|6|人女海|飛海|片手&br;射撃|S|4|城壁崩し[25]&br;多段攻撃[2]&br;遠隔攻撃&br;トレハン[10]&br;|撃破金運[5]&br;側面攻撃[8]&br;夜戦適応&br;海洋活性[8]&br;|確率追撃[50]&br;海洋活性[10]|速度布陣[10]|商業[12]|計略|R2-海&br;v1.04|
|エグゼクター|闇|シューター|95|32|19|48|8|人男毒夜|人魔|片手&br;法衣|S|4|毒化攻撃[10]&br;遠隔攻撃&br;封印攻撃&br;イベイド[45]&br;|奇襲戦法[12]&br;師団弱体[6]&br;致命必殺[60]&br;狂奔の牙[10]&br;|強制異常[15]&br;確率追撃[65]|側面攻撃[5]|商業[12]|計略|R2-幻&br;v1.04|
|アマゾンスナイパー|火|シューター|95|22|18|39|7|人女樹雷毒|飛竜獣|射撃&br;装飾|S|5|多段攻撃[2]&br;遠隔攻撃&br;女性活性[10]&br;樹霊活性[10]&br;|夜戦適応&br;麻痺攻撃[2]&br;毒化攻撃[15]&br;狂奔の牙[10]&br;|多段攻撃[1]&br;毒気砲弾[6]|遠隔攻撃|農業[16]|計略|R2-闘&br;v1.04|
|銃士隊長|火|シューター|95|36|6|18|7|人男器|海氷獣飛|射撃&br;装飾|S|5|必殺増加[30]&br;遠隔攻撃&br;扇形攻撃&br;攻撃布陣[12]&br;|人間活性[12]&br;防御弱体[8]&br;多段攻撃[1]&br;武具研磨[20]&br;|火炎砲弾[8]&br;致命必殺[35]|遠隔攻撃|工業[12]|計略|R2-闘&br;v1.04|
|マタギ|土|シューター|100|40|12|24|8|人男女樹|獣樹海蟲|射撃&br;装飾|S|6|奇襲戦法[22]&br;必殺増加[20]&br;致命必殺[45]&br;攻撃布陣[15]&br;|遠隔攻撃&br;トレハン[12]&br;夜戦適応&br;武具研磨[30]&br;|火炎砲弾[8]&br;確率追撃[50]|連携攻撃[5]|農業[12]|計略|R2-幻&br;v1.04|
|スナイパー|土|シューター|100|39|18|28|8|人男樹|飛獣竜|射撃&br;装飾|S|7|遠隔攻撃&br;必殺増加[20]&br;致命必殺[45]&br;樹霊活性[12]&br;|防御削減[10]&br;イベイド[30]&br;夜戦適応&br;麻痺治療&br;|闇雲攻撃&br;集約攻撃|必殺増加[10]|農業[12]|計略|R3-歴&br;Lv4全↓&br;v1.04|
|レディスナイパー|土|シューター|100|31|14|36|10|人女樹|飛獣竜|射撃&br;装飾|S|7|遠隔攻撃&br;必殺増加[30]&br;致命必殺[20]&br;樹霊活性[12]&br;|攻撃削減[10]&br;イベイド[40]&br;カブト割[20]&br;解毒治療&br;|闇雲攻撃&br;確率追撃[100]|必殺増加[10]|農業[12]|計略|R3-歴&br;v1.04|
|歩き巫女|水|シューター|100|36|16|24|13|人女神|男女|杖&br;法衣|S|8|多段攻撃[1]&br;必殺増加[30]&br;致命必殺[40]&br;奇襲警戒[18]&br;|遠隔攻撃&br;人間活性[15]&br;夜戦適応&br;解毒治療&br;|確率追撃[50]&br;戦術補助[35]|絶対治療|医療[3]|計略|R3-歴&br;Lv3蘇生&br;v1.04|
|ブラストドラグーン|火|シューター|105|68|18|16|16|人女竜炎騎|飛魔氷樹|鞭&br;法衣|S|9|十字攻撃&br;遠隔攻撃&br;竜の吐息[10]&br;竜鱗守護[40]&br;|防御弱体[8]&br;大火炎陣[10]&br;巨人狩り[20]&br;城壁崩し[50]&br;|火炎砲弾[8]&br;攻撃布陣[15]|大術撃陣[5]|魔術[12]|計略|R4-賢&br;v1.04|
|ウィザード|闇|キャスター|90|24|8|11|12|人男夜雷|獣炎氷海|杖&br;道具|S|3|大雷撃陣[4]&br;遠隔攻撃&br;師団弱体[5]&br;人間活性[6]&br;|撃破金運[4]&br;日中適応&br;戦術結界[15]&br;対術結界[15]&br;|魔術砲弾[5]&br;戦術補助[25]|術撃放射[15]|魔術[12]|計略|R2-陸&br;v1.04|
|ウィッチ|闇|キャスター|90|20|6|13|13|人女夜炎|樹氷雷海|杖&br;道具|S|3|大火炎陣[4]&br;遠隔攻撃&br;師団弱体[5]&br;人間活性[6]&br;|トレハン[10]&br;撃破金運[3]&br;日中適応&br;砲撃結界[15]&br;|魔術砲弾[5]&br;術式増幅[10]|術撃放射[15]|魔術[12]|計略|R2-陸&br;v1.04|
|ファウスト|闇|キャスター|90|25|8|18|13|人女魔夜|神人死|杖&br;法衣|S|3|遠隔攻撃&br;毒化攻撃[10]&br;麻痺攻撃[2]&br;呪の一撃&br;|死者活性[10]&br;魔族活性[6]&br;毒気砲弾[3]&br;&br;|師団弱体[12]&br;知力布陣[10]|開幕毒気[5]|魔術[12]|計略|R2-苦&br;v1.04|
|ベノムトレーダー|闇|キャスター|90|16|12|30|12|人女樹毒夜|男女毒|杖&br;法衣|S|4|大毒気陣[7]&br;毒化攻撃[10]&br;遠隔攻撃&br;平等治癒[6]&br;|毒性活性[10]&br;速度弱体[10]&br;資源工面[10]&br;解毒治療&br;|戦術妨害[30]&br;毒気砲弾[3]|解毒治療|商業[20]|計略|R2-苦&br;v1.04|
|シーア|闇|キャスター|90|8|16|20|14|人女星夜||杖&br;法衣|S|5|専守防衛&br;奇襲戦法[20]&br;奇襲警戒[20]&br;師団支配[14]&br;|自爆結界[20]&br;対術結界[20]&br;トレハン[12]&br;異常耐性&br;|運命の輪[5]&br;トレハン[10]|師団活性[5]|商業[20]|計略|R2-信&br;Lv3全↑↓&br;v1.04|
|陰陽師|闇|キャスター|95|24|36|36|12|人女神|魔死蟲|杖&br;法衣|S|5|師団弱体[12]&br;大火炎陣[14]&br;対術結界[20]&br;解除攻撃&br;|絶対治療&br;死者支配[16]&br;遠隔攻撃&br;自爆結界[50]&br;|術式増幅[15]&br;心核穿ち[30]|自爆障壁[15]|魔術[12]|計略|R2-信&br;v1.04|
|エレメンタラー|水|キャスター|95|32|14|18|16|人女氷夜|魔炎雷海|杖&br;法衣|S|5|大氷撃陣[12]&br;遠隔攻撃&br;師団弱体[8]&br;凍結攻撃[30]&br;|炎霊弱体[12]&br;日中適応&br;対術反射[35]&br;氷霊活性[8]&br;|師団弱体[8]&br;バリアー[4]|対術結界[10]|魔術[12]|計略|R2-幻&br;v1.04|
|アマゾンドルイド|火|キャスター|95|4|18|32|14|人女樹雷|炎氷雷|杖&br;法衣|S|5|専守防衛&br;大雷撃陣[12]&br;雷霊活性[8]&br;樹霊活性[8]&br;|女性活性[10]&br;イベイド[70]&br;全体治癒[8]&br;知力布陣[8]&br;|標的後逸&br;雷撃砲弾[7]|イベイド[10]|医療[3]|計略|R3-巨&br;v1.04|
|ヴァイスマギア|光|キャスター|95|12|24|24|14|人女神|魔死|杖&br;法衣|S|6|大神術陣[8]&br;遠隔攻撃&br;四法結界[20]&br;神族活性[14]&br;|バリアー[3]&br;太陽信仰[25]&br;夜戦適応&br;神術砲弾[5]&br;|終の奇跡[10]&br;戦意高揚[35]|リカバリ[5]|医療[3]|計略|R3-歴&br;v1.04|
|ドラゴンテイマー|風|キャスター|100|30|18|32|10|人女竜|竜獣蟲飛|鞭&br;道具|S|7|貫通攻撃&br;封印攻撃&br;遠隔攻撃&br;致命必殺[60]&br;|多段攻撃[2]&br;竜の吐息[8]&br;竜鱗守護[50]&br;師団活性[10]&br;|竜族支配[10]&br;グルメ魂[4]|竜鱗守護[15]|医療[3]|計略|R3-歴&br;v1.04|
|武仙|火|キャスター|100|28|22|36|18|人男竜樹炎|魔死|片手&br;法衣|S|8|大火炎陣[12]&br;封印攻撃&br;遠隔攻撃&br;戦術妨害[50]&br;|戦術結界[25]&br;パリング[40]&br;側面攻撃[15]&br;確率追撃[60]&br;|側面攻撃[10]&br;砲撃結界[35]|砲撃結界[10]|医療[3]|計略|R4-英&br;v1.04|
|仙女|水|キャスター|100|24|20|43|20|人女竜樹海|魔死|法衣&br;道具|S|8|大水流陣[15]&br;側面無効&br;遠隔攻撃&br;戦術補助[50]&br;|対術結界[30]&br;標的後逸&br;攻撃支配[15]&br;解毒治療&br;|遠隔無効&br;バリアー[5]|対術結界[10]|医療[3]|計略|R4-英&br;v1.04|
|セージ|水|キャスター|100|24|30|18|19|人男炎雷氷|炎雷氷|杖&br;法衣|S|9|大魔術陣[10]&br;大雷撃陣[15]&br;専守防衛&br;師団活性[15]&br;|砲撃結界[25]&br;戦意高揚[100]&br;知力布陣[20]&br;貫通無効&br;|雷撃砲弾[10]&br;扇形無効|開幕砲弾[5]|魔術[16]|計略|R4-賢&br;v1.04|
|レディセージ|水|キャスター|100|19|25|21|20|人女炎雷氷|炎雷氷|法衣&br;道具|S|9|大魔術陣[10]&br;大氷撃陣[15]&br;専守防衛&br;師団弱体[12]&br;|自爆結界[25]&br;戦術補助[50]&br;術式増幅[15]&br;扇形無効&br;|氷撃砲弾[10]&br;貫通無効|大術撃陣[5]|魔術[16]|計略|R4-賢&br;Lv4全↑&br;v1.04|
|オリファンの笛吹き|風|キャスター|100|36|32|24|12|人女騎|魔獣|斧槍&br;道具|S|10|師団活性[16]&br;騎士活性[20]&br;戦意高揚[100]&br;戦術補助[50]&br;|人間指揮[10]&br;専守防衛&br;標的後逸&br;側面無効&br;|戦術補助[50]&br;先陣の誉|攻撃布陣[10]|商業[16]|計略|R4-命&br;Lv4全↑↓&br;v1.04|
|インヴォーカー|光|キャスター|100|1|40|1|18|人女神||法衣&br;道具|S|10|専守防衛&br;トレハン[18]&br;人間活性[40]&br;イベイド[85]&br;|運命の輪[5]&br;全域無効&br;&br;&br;|運命の輪[10]&br;軍団活性[15]|リカバリ[5]|商業[12]|計略|R4-命&br;Lv5蘇生・全↑&br;v1.04|
|フューリー|闇|キャスター|105|58|30|48|20|人女魔樹毒夜|神樹蟲雷|杖&br;道具|S|11|扇形攻撃&br;遠隔攻撃&br;虹の毒撃[15]&br;結界の歪[10]&br;|師団弱体[16]&br;毒性活性[16]&br;大毒気陣[15]&br;心核穿ち[50]&br;|全域攻撃&br;強制異常[30]|心核穿ち[5]|魔術[16]|計略|R4-骸&br;v1.04|
|ヴァルボリの魔女|火|キャスター|110|42|32|24|20|人女炎夜||杖&br;法衣|A|12|師団支配[15]&br;人間活性[20]&br;専守防衛&br;トレハン[24]&br;|超火炎陣[12]&br;イベイド[70]&br;行動増加[2]&br;術式増幅[15]&br;|行動増加[1]&br;加速進化[12]|リカバリ[5]|農業[12]|計略|R5-革&br;v1.04|
|ハイランドセージ|水|キャスター|105|28|24|24|18|人女神氷||法衣&br;道具|A|12|大神術陣[12]&br;専守防衛&br;四法結界[35]&br;神族活性[15]&br;|バリアー[5]&br;神術砲弾[8]&br;標的後逸&br;絶対治療&br;|終の奇跡[15]&br;異常耐性|大術撃陣[5]|魔術[16]|計略|R5-王&br;v1.04|
|辺境盾兵|火|ガーダー|90|2|20|5|5|人男騎||盾&br;道具|S|2|防御布陣[5]&br;専守防衛&br;ブロック[15]&br;夜戦適応&br;|奇襲警戒[6]&br;必殺耐性[15]&br;堅守体躯[10]&br;人間活性[5]&br;|特攻防御[25]&br;ブロック[10]|城壁構築[20]|農業[8]|防備|R2-陸&br;v1.04|
|バイキングガード|水|ガーダー|95|20|37|4|4|人男海氷|人海騎器|片手&br;盾|S|3|防御布陣[7]&br;反撃倍加[3]&br;致命必殺[25]&br;撃破金運[3]&br;|トレハン[10]&br;夜戦適応&br;堅守体躯[20]&br;海洋活性[8]&br;|前進防御&br;専守防衛|パリング[10]|商業[12]|防備|R2-海&br;v1.04|
|ソルジャー|風|ガーダー|95|13|26|6|5|人男騎|獣騎|斧槍&br;盾|S|3|防御布陣[10]&br;専守防衛&br;堅守体躯[5]&br;側面無効&br;|前進防御&br;人間活性[4]&br;騎士活性[4]&br;&br;|特攻防御[20]&br;戦術結界[15]|防御布陣[10]|農業[8]|防備|R2-闘&br;v1.04|
|レディソルジャー|風|ガーダー|95|12|24|10|7|人女騎|獣器|片手&br;盾|S|3|防御布陣[8]&br;専守防衛&br;堅守体躯[5]&br;遠隔無効&br;|パリング[20]&br;人間活性[4]&br;騎士活性[4]&br;&br;|必殺耐性[15]&br;戦術結界[15]|防御布陣[10]|農業[8]|防備|R2-闘&br;v1.04|
|ハンマーナイト|土|ガーダー|110|30|55|1|6|人男器騎|器器騎|斧槍&br;鎧|S|5|致命必殺[50]&br;反撃倍加[4]&br;防御布陣[7]&br;前進防御&br;|堅守体躯[25]&br;防御弱体[10]&br;特攻防御[25]&br;城壁崩し[40]&br;|致命耐性[25]&br;専守防衛|城壁崩し[20]|工業[12]|防備|R3-巨&br;v1.04|
|鉄騎将|土|ガーダー|100|25|40|4|8|人男騎|魔|盾&br;鎧|S|5|防御布陣[12]&br;反撃倍加[3]&br;異常耐性&br;十字無効&br;|人間活性[10]&br;ブロック[20]&br;堅守体躯[20]&br;必殺耐性[25]&br;|背水の陣[25]&br;専守防衛|城壁構築[20]|軍事[3]|防備|R3-巨&br;v1.04|
|聖騎士|光|ガーダー|100|26|42|12|12|人男神獣騎|死魔騎|斧槍&br;盾|S|5|神術放射[5]&br;全体治癒[8]&br;異常耐性&br;前進防御&br;|防御布陣[14]&br;堅守体躯[25]&br;専守防衛&br;特攻防御[50]&br;|神族活性[10]&br;大神術陣[6]|特攻防御[5]|商業[12]|防備|R3-歴&br;v1.04|
|スケイルドラグーン|火|ガーダー|110|32|48|7|6|人男竜騎|器雷騎|盾&br;獣装|S|5|防御布陣[20]&br;堅守体躯[30]&br;反撃倍加[5]&br;竜鱗守護[65]&br;|必殺耐性[25]&br;パリング[40]&br;致命耐性[50]&br;専守防衛&br;|前進防御&br;異常耐性|竜鱗守護[15]|軍事[3]|防備|R3-竜&br;v1.04|
|フォートレス|土|ガーダー|105|21|50|4|8|人男騎|騎氷竜|片手&br;盾|S|6|防御布陣[18]&br;前進防御&br;戦意高揚[35]&br;堅守体躯[20]&br;|扇形無効&br;ブロック[30]&br;専守防衛&br;砲撃結界[25]&br;|砲撃障壁[75]&br;貫通無効|必殺耐性[10]|軍事[3]|防備|R3-歴&br;v1.04|
|レディフォートレス|土|ガーダー|105|19|46|6|9|人女騎|騎死竜|斧槍&br;盾|S|6|防御布陣[16]&br;前進防御&br;城壁構築[75]&br;堅守体躯[15]&br;|貫通無効&br;ブロック[35]&br;専守防衛&br;砲撃結界[25]&br;|砲撃障壁[75]&br;扇形無効|必殺耐性[10]|軍事[3]|防備|R3-歴&br;v1.04|
|バーバリアン|火|ガーダー|105|55|55|35|6|人男雷|獣竜魔|斧槍&br;盾|S|6|竜族弱体[20]&br;人間活性[15]&br;防御布陣[20]&br;攻撃布陣[20]&br;|反撃倍加[7]&br;堅守体躯[30]&br;狂奔の牙[15]&br;特攻防御[50]&br;|異常耐性&br;専守防衛|特攻防御[5]|軍事[3]|防備|R3-竜&br;v1.04|
|ハルモニアガード|火|ガーダー|105|37|48|28|10|人女騎樹雷|飛獣器騎|盾&br;鎧|S|7|防御布陣[14]&br;専守防衛&br;特攻防御[40]&br;堅守体躯[25]&br;|ブロック[25]&br;扇形無効&br;夜戦適応&br;イベイド[45]&br;|遠隔無効&br;奇襲警戒[15]|特攻防御[5]|軍事[3]|防備|R4-英&br;v1.04|
|黒騎将|闇|ガーダー|110|40|61|8|10|人男魔騎|神騎|盾&br;鎧|S|10|防御布陣[5]&br;反撃倍加[6]&br;異常耐性&br;十字無効&br;|リカバリ[20]&br;堅守体躯[35]&br;専守防衛&br;人間支配[12]&br;|致命必殺[45]&br;心核穿ち[20]|城壁構築[20]|軍事[3]|防備|R4-英&br;v1.04|
|ハイランドガード|水|ガーダー|110|27|52|24|8|人女騎氷|魔獣炎毒|斧槍&br;盾|A|12|防御布陣[18]&br;専守防衛&br;特攻防御[50]&br;堅守体躯[30]&br;|ブロック[30]&br;十字無効&br;前進防御&br;追撃阻止[25]&br;|受け流し[25]&br;背水の陣[10]|パリング[10]|軍事[3]|防備|R5-王&br;v1.04|
|霊装鎧兵|火|ガーダー|115|35|67|2|5|人男炎器|魔神|両手&br;鎧|A|13|防御布陣[14]&br;反撃倍加[8]&br;致命必殺[35]&br;対術反射[40]&br;|堅守体躯[35]&br;特攻防御[40]&br;専守防衛&br;異常耐性&br;|対術障壁[99]&br;砲撃反射[40]|堅守体躯[1]|工業[12]|防備|R5-革&br;v1.04|
|女霊装鎧兵|火|ガーダー|115|32|70|3|6|人女炎器|魔神|斧槍&br;鎧|A|13|防御布陣[12]&br;反撃倍加[7]&br;必殺増加[35]&br;対術吸収[40]&br;|堅守体躯[35]&br;特攻防御[40]&br;専守防衛&br;異常耐性&br;|対術障壁[99]&br;砲撃吸収[40]|堅守体躯[1]|工業[12]|防備|R5-革&br;v1.04|
|金鎧将|光|ガーダー|120|33|65|1|12|人男雷騎|人魔器|盾&br;道具|A|13|防御布陣[5]&br;専守防衛&br;異常耐性&br;全域無効&br;|トレハン[14]&br;撃破金運[7]&br;堅守体躯[35]&br;人間活性[20]&br;|トレハン[8]&br;特攻防御[65]|堅守体躯[1]|商業[16]|防備|R5-王&br;v1.04|
|ハイランドジェネラル|水|ガーダー|115|38|65|32|11|人女騎氷|魔獣炎騎毒|斧槍&br;盾|B|16|防御布陣[18]&br;専守防衛&br;特攻防御[50]&br;堅守体躯[40]&br;|至高の盾[30]&br;全域無効&br;前進防御&br;異常耐性&br;|十字無効&br;正々堂々|特攻防御[5]|軍事[3]|防備|R6-機&br;v1.04|
|渡世人|風|ガーダー|120|45|60|15|4|人男|人魔獣蟲|両手&br;法衣|A|17|人間活性[20]&br;専守防衛&br;防御布陣[25]&br;前進防御&br;|反撃倍加[9]&br;堅守体躯[50]&br;受け流し[40]&br;トレハン[22]&br;|特攻防御[50]&br;不動の備[30]|堅守体躯[1]|商業[8]|防備|R5-革&br;v1.04|
|カーペンター|土|デストロイヤー|85|16|7|1|6|人男|器器|斧槍&br;道具|S|1|カブト割[30]&br;城壁崩し[25]&br;城壁構築[50]&br;器兵弱体[6]&br;|器兵活性[6]&br;人間活性[4]&br;撃破金運[2]&br;&br;|城壁構築[50]&br;危機管理[20]|城壁構築[20]|工業[16]|進撃|R1-力&br;v1.04|
|山師|土|デストロイヤー|90|30|10|8|4|人男氷|器器|斧槍&br;道具|S|3|必殺増加[40]&br;致命必殺[50]&br;城壁崩し[50]&br;撃破金運[5]&br;|夜戦適応&br;蟲族弱体[6]&br;器兵弱体[6]&br;&br;|撃破金運[7]&br;危機管理[20]|城壁崩し[20]|工業[16]|進撃|R2-陸&br;v1.04|
|怪盗|火|デストロイヤー|90|32|8|45|8|人女炎夜|器氷海|射撃&br;道具|S|4|遠隔攻撃&br;扇形攻撃&br;トレハン[8]&br;イベイド[25]&br;|撃破金運[3]&br;撃破金運[4]&br;大火炎陣[3]&br;挑発行為&br;|撃破金運[5]&br;火炎砲弾[3]|開幕砲弾[5]|商業[16]|進撃|R2-幻&br;v1.04|
|山賊|土|デストロイヤー|105|40|10|12|3|人男樹|人樹器|斧槍&br;鎧|S|4|反撃耐性[25]&br;全力攻撃[25]&br;カブト割[15]&br;報復の牙[10]&br;|トレハン[8]&br;撃破金運[3]&br;標的後逸&br;火事場力[20]&br;|捨身の備[20]&br;グルメ魂[2]|全力攻撃[5]|農業[4]|進撃|R2-苦&br;v1.04|
|パニッシャー|光|デストロイヤー|100|42|28|18|8|人女神|死魔器|爪&br;法衣|S|5|扇形攻撃&br;パリング[30]&br;人間活性[14]&br;カブト割[35]&br;|防御弱体[10]&br;魔族弱体[10]&br;勇猛果敢&br;反撃耐性[20]&br;|心核穿ち[15]&br;必殺耐性[25]|必殺増加[10]|商業[12]|進撃|R2-信&br;v1.04|
|レディホーク|水|デストロイヤー|95|38|24|42|6|人女海氷|人海騎器|片手&br;盾|S|5|確率追撃[50]&br;カブト割[30]&br;反撃耐性[35]&br;撃破金運[4]&br;|トレハン[10]&br;夜戦適応&br;人間活性[6]&br;海洋活性[6]&br;|撃破金運[5]&br;側面攻撃[8]|全力攻撃[5]|商業[16]|進撃|R3-巨&br;v1.04|
|ホーンドラグーン|火|デストロイヤー|100|58|40|45|6|人女竜騎|人騎竜|斧槍&br;獣装|S|6|貫通攻撃&br;カブト割[25]&br;必殺増加[25]&br;竜鱗守護[60]&br;|特攻防御[40]&br;反撃耐性[25]&br;奇襲戦法[13]&br;全力攻撃[35]&br;|集約攻撃&br;防御弱体[15]|城壁崩し[20]|農業[8]|進撃|R3-竜&br;v1.04|
|ウォリアー|土|デストロイヤー|105|48|29|21|4|人男獣炎|獣竜樹蟲|両手&br;装飾|S|8|全力攻撃[50]&br;必殺増加[35]&br;巨人狩り[45]&br;特攻防御[60]&br;|反撃耐性[30]&br;防御弱体[8]&br;狂奔の牙[15]&br;挑発行為&br;|武具研磨[35]&br;男性活性[15]|必殺増加[10]|農業[8]|進撃|R4-英&br;v1.04|
|レディウォリアー|土|デストロイヤー|105|54|27|19|5|人女獣炎|獣竜樹蟲|斧槍&br;装飾|S|8|全力攻撃[50]&br;必殺増加[20]&br;カブト割[40]&br;特攻防御[60]&br;|反撃耐性[30]&br;攻撃布陣[20]&br;狂奔の牙[15]&br;挑発行為&br;|武具研磨[35]&br;女性活性[15]|カブト割[1]|農業[8]|進撃|R4-英&br;v1.04|
|拳聖|風|デストロイヤー|105|56|29|27|9|人男炎|獣竜器|爪&br;法衣|S|8|扇形攻撃&br;パリング[25]&br;必殺増加[20]&br;カブト割[35]&br;|必殺耐性[25]&br;多段攻撃[1]&br;反撃耐性[60]&br;勇猛果敢&br;|集約攻撃&br;心核穿ち[25]|カブト割[1]|商業[12]|進撃|R4-賢&br;v1.04|
|女拳聖|風|デストロイヤー|105|63|32|31|8|人女炎|獣竜器|爪&br;道具|S|8|貫通攻撃&br;パリング[35]&br;必殺増加[30]&br;カブト割[25]&br;|必殺耐性[30]&br;側面攻撃[12]&br;反撃耐性[70]&br;勇猛果敢&br;|集約攻撃&br;心核穿ち[25]|必殺増加[10]|商業[12]|進撃|R4-賢&br;v1.04|
|アーチボルト|火|デストロイヤー|100|62|10|5|6|人男器|飛飛|射撃&br;道具|S|9|城壁崩し[60]&br;遠隔攻撃&br;貫通攻撃&br;夜戦適応&br;|必殺増加[20]&br;致命必殺[75]&br;確率追撃[50]&br;側面攻撃[10]&br;|乾坤一擲[25]&br;飛行弱体[20]|城壁崩し[20]|工業[12]|進撃|R4-英&br;v1.04|
|レディアーチボルト|火|デストロイヤー|100|70|4|3|8|人女器|飛器|射撃&br;道具|S|9|城壁崩し[80]&br;遠隔攻撃&br;十字攻撃&br;夜戦適応&br;|カブト割[25]&br;火炎砲弾[4]&br;防御削減[15]&br;追撃阻止[20]&br;|火炎砲弾[8]&br;器兵弱体[20]|城壁崩し[20]|工業[12]|進撃|R4-英&br;v1.04|
|バイキングリーダー|水|デストロイヤー|110|55|55|35|10|人男海氷|人海騎獣|片手&br;両手|A|11|扇形攻撃&br;致命必殺[50]&br;トレハン[16]&br;攻撃布陣[20]&br;|反撃耐性[60]&br;夜戦適応&br;カブト割[25]&br;狂奔の牙[15]&br;|多段攻撃[2]&br;必殺増加[25]|カブト割[1]|商業[20]|進撃|R4-命&br;Lv4全↑↓&br;v1.04|
|ハイモンク|光|デストロイヤー|110|50|45|22|12|人女神|死魔竜器|爪&br;法衣|A|12|十字攻撃&br;パリング[40]&br;人間活性[20]&br;カブト割[40]&br;|攻撃布陣[15]&br;師団弱体[10]&br;勇猛果敢&br;心核穿ち[25]&br;|魔族弱体[20]&br;必殺増加[30]|心核穿ち[5]|商業[16]|進撃|R4-命&br;Lv5全↑&br;v1.04|
|ウルティマカノン|光|デストロイヤー|105|88|1|30|10|人男器雷|魔神竜|射撃&br;装飾|B|13|自決自爆[40]&br;貫通攻撃&br;次元斬撃[25]&br;城壁崩し[120]&br;|速度弱体[24]&br;カブト割[25]&br;巨人狩り[20]&br;大雷撃陣[10]&br;|戦意高揚[50]&br;雷撃砲弾[8]|開幕砲弾[5]|工業[16]|進撃|R5-革&br;v1.04|
|カオティックカノン|闇|デストロイヤー|115|128|1|15|2|人男器蟲毒|女魔神竜|射撃&br;鞭|C|23|自決自爆[45]&br;貫通攻撃&br;次元斬撃[75]&br;城壁崩し[125]&br;|師団弱体[20]&br;心核穿ち[20]&br;多段攻撃[2]&br;大毒気陣[10]&br;|戦意高揚[100]&br;毒気砲弾[6]|開幕毒気[5]|工業[16]|進撃|R7-破&br;v1.04|
|ハーバリスト|水|ヒーラー|80|3|5|24|10|人女樹|死毒|杖&br;法衣|S|2|全体治癒[8]&br;解毒治療&br;専守防衛&br;麻痺治療&br;|毒性弱体[12]&br;資源工面[10]&br;人間活性[8]&br;グルメ魂[2]&br;|削減治療&br;グルメ魂[3]|解毒治療|医療[3]|防備|R1-知&br;v1.04|
|巫女|水|ヒーラー|80|9|8|16|11|人女神|死魔|杖&br;法衣|S|2|全体治癒[10]&br;専守防衛&br;解呪治療&br;麻痺治療&br;|神族活性[6]&br;対術結界[15]&br;人間活性[8]&br;削減治療&br;|バリアー[3]&br;背水の陣[20]|解呪治療|医療[3]|防備|R1-知&br;v1.04|
